Pavarde                  Vardas                   Galutinis (Vid.)Galutinis (Med.)
Vardas1173               Pavarde1173              5.09           4.80           
Vardas32                 Pavarde32                5.09           5.20           
Vardas7956               Pavarde7956              5.09           5.60           
Vardas8500               Pavarde8500              5.09           5.20           
Vardas9397               Pavarde9397              5.09           5.20           
Vardas9498               Pavarde9498              5.09           5.60           
Vardas943                Pavarde943               5.11           5.00           
Vardas1187               Pavarde1187              5.11           5.00           
Vardas1504               Pavarde1504              5.11           5.00           
Vardas2512               Pavarde2512              5.11           4.60           
Vardas2760               Pavarde2760              5.11           4.60           
Vardas2943               Pavarde2943              5.11           5.40           
Vardas3268               Pavarde3268              5.11           5.00           
Vardas3301               Pavarde3301              5.11           4.60           
Vardas3434               Pavarde3434              5.11           4.60           
Vardas4090               Pavarde4090              5.11           5.40           
Vardas4355               Pavarde4355              5.11           5.00           
Vardas4413               Pavarde4413              5.11           5.00           
Vardas5153               Pavarde5153              5.11           5.00           
Vardas5195               Pavarde5195              5.11           5.00           
Vardas5349               Pavarde5349              5.11           5.00           
Vardas5449               Pavarde5449              5.11           5.00           
Vardas5658               Pavarde5658              5.11           4.60           
Vardas5686               Pavarde5686              5.11           5.40           
Vardas5892               Pavarde5892              5.11           5.00           
Vardas6168               Pavarde6168              5.11           5.00           
Vardas6984               Pavarde6984              5.11           5.00           
Vardas7573               Pavarde7573              5.11           5.40           
Vardas7581               Pavarde7581              5.11           5.00           
Vardas8034               Pavarde8034              5.11           4.60           
Vardas8414               Pavarde8414              5.11           4.60           
Vardas8655               Pavarde8655              5.11           5.00           
Vardas8738               Pavarde8738              5.11           5.00           
Vardas9511               Pavarde9511              5.11           5.00           
Vardas9612               Pavarde9612              5.11           5.00           
Vardas9780               Pavarde9780              5.11           5.40           
Vardas9888               Pavarde9888              5.11           4.60           
Vardas9937               Pavarde9937              5.11           5.00           
Vardas3252               Pavarde3252              5.12           4.80           
Vardas3288               Pavarde3288              5.12           5.20           
Vardas3872               Pavarde3872              5.12           4.80           
Vardas333                Pavarde333               5.12           5.20           
Vardas339                Pavarde339               5.12           5.20           
Vardas449                Pavarde449               5.12           5.60           
Vardas601                Pavarde601               5.12           5.60           
Vardas2276               Pavarde2276              5.12           5.20           
Vardas2503               Pavarde2503              5.12           5.60           
Vardas2538               Pavarde2538              5.12           5.20           
Vardas2787               Pavarde2787              5.12           5.20           
Vardas3231               Pavarde3231              5.12           5.60           
Vardas4720               Pavarde4720              5.12           5.60           
Vardas5059               Pavarde5059              5.12           5.60           
Vardas5251               Pavarde5251              5.12           5.60           
Vardas6925               Pavarde6925              5.12           5.20           
Vardas8994               Pavarde8994              5.12           5.60           
Vardas9690               Pavarde9690              5.12           5.60           
Vardas629                Pavarde629               5.13           5.00           
Vardas730                Pavarde730               5.13           5.00           
Vardas999                Pavarde999               5.13           4.60           
Vardas1640               Pavarde1640              5.13           5.00           
Vardas1915               Pavarde1915              5.13           4.60           
Vardas2462               Pavarde2462              5.13           4.60           
Vardas2802               Pavarde2802              5.13           5.00           
Vardas3307               Pavarde3307              5.13           5.00           
Vardas3756               Pavarde3756              5.13           5.40           
Vardas3856               Pavarde3856              5.13           5.00           
Vardas4023               Pavarde4023              5.13           5.00           
Vardas4131               Pavarde4131              5.13           5.40           
Vardas4676               Pavarde4676              5.13           5.00           
Vardas4689               Pavarde4689              5.13           5.40           
Vardas4950               Pavarde4950              5.13           5.00           
Vardas5004               Pavarde5004              5.13           5.40           
Vardas5080               Pavarde5080              5.13           4.60           
Vardas5689               Pavarde5689              5.13           5.00           
Vardas7297               Pavarde7297              5.13           5.00           
Vardas7760               Pavarde7760              5.13           5.00           
Vardas8287               Pavarde8287              5.13           5.00           
Vardas8304               Pavarde8304              5.13           4.60           
Vardas8584               Pavarde8584              5.13           4.60           
Vardas8721               Pavarde8721              5.13           5.00           
Vardas8853               Pavarde8853              5.13           5.40           
Vardas9077               Pavarde9077              5.13           4.60           
Vardas9354               Pavarde9354              5.13           5.40           
Vardas9492               Pavarde9492              5.13           5.40           
Vardas9757               Pavarde9757              5.13           5.40           
Vardas9774               Pavarde9774              5.13           5.40           
Vardas9962               Pavarde9962              5.13           5.00           
Vardas1430               Pavarde1430              5.15           4.80           
Vardas4508               Pavarde4508              5.15           5.20           
Vardas4559               Pavarde4559              5.15           5.20           
Vardas4594               Pavarde4594              5.15           4.80           
Vardas4645               Pavarde4645              5.15           5.60           
Vardas4738               Pavarde4738              5.15           4.80           
Vardas5504               Pavarde5504              5.15           5.20           
Vardas5718               Pavarde5718              5.15           5.20           
Vardas6385               Pavarde6385              5.15           4.80           
Vardas7140               Pavarde7140              5.15           5.20           
Vardas7561               Pavarde7561              5.15           5.60           
Vardas8033               Pavarde8033              5.15           5.60           
Vardas8579               Pavarde8579              5.15           4.80           
Vardas543                Pavarde543               5.16           5.00           
Vardas1175               Pavarde1175              5.16           5.00           
Vardas1409               Pavarde1409              5.16           5.40           
Vardas1769               Pavarde1769              5.16           5.40           
Vardas2195               Pavarde2195              5.16           5.00           
Vardas2587               Pavarde2587              5.16           5.40           
Vardas2990               Pavarde2990              5.16           5.40           
Vardas3026               Pavarde3026              5.16           5.00           
Vardas3533               Pavarde3533              5.16           5.40           
Vardas3682               Pavarde3682              5.16           5.00           
Vardas3855               Pavarde3855              5.16           5.00           
Vardas4319               Pavarde4319              5.16           5.00           
Vardas5314               Pavarde5314              5.16           5.00           
Vardas5521               Pavarde5521              5.16           5.00           
Vardas5622               Pavarde5622              5.16           5.00           
Vardas6760               Pavarde6760              5.16           5.00           
Vardas7052               Pavarde7052              5.16           5.40           
Vardas7059               Pavarde7059              5.16           5.00           
Vardas7226               Pavarde7226              5.16           5.40           
Vardas7841               Pavarde7841              5.16           5.00           
Vardas8308               Pavarde8308              5.16           5.40           
Vardas8630               Pavarde8630              5.16           5.00           
Vardas8947               Pavarde8947              5.16           5.00           
Vardas8950               Pavarde8950              5.16           5.40           
Vardas9735               Pavarde9735              5.16           5.40           
Vardas3671               Pavarde3671              5.17           4.80           
Vardas4888               Pavarde4888              5.17           5.20           
Vardas6008               Pavarde6008              5.17           4.40           
Vardas58                 Pavarde58                5.17           5.20           
Vardas658                Pavarde658               5.17           5.20           
Vardas3032               Pavarde3032              5.17           5.60           
Vardas3197               Pavarde3197              5.17           5.60           
Vardas328                Pavarde328               5.19           5.40           
Vardas347                Pavarde347               5.19           5.40           
Vardas1582               Pavarde1582              5.19           5.40           
Vardas1723               Pavarde1723              5.19           5.40           
Vardas1738               Pavarde1738              5.19           5.00           
Vardas2175               Pavarde2175              5.19           5.00           
Vardas2231               Pavarde2231              5.19           5.40           
Vardas2253               Pavarde2253              5.19           4.60           
Vardas2615               Pavarde2615              5.19           5.00           
Vardas3161               Pavarde3161              5.19           5.00           
Vardas3202               Pavarde3202              5.19           5.00           
Vardas3394               Pavarde3394              5.19           5.40           
Vardas4898               Pavarde4898              5.19           5.40           
Vardas4946               Pavarde4946              5.19           4.60           
Vardas5379               Pavarde5379              5.19           5.00           
Vardas5436               Pavarde5436              5.19           5.00           
Vardas5507               Pavarde5507              5.19           4.60           
Vardas5539               Pavarde5539              5.19           5.40           
Vardas5685               Pavarde5685              5.19           5.00           
Vardas5877               Pavarde5877              5.19           5.00           
Vardas5899               Pavarde5899              5.19           5.00           
Vardas6354               Pavarde6354              5.19           5.40           
Vardas6373               Pavarde6373              5.19           4.60           
Vardas6419               Pavarde6419              5.19           5.00           
Vardas6427               Pavarde6427              5.19           5.00           
Vardas7303               Pavarde7303              5.19           5.00           
Vardas7682               Pavarde7682              5.19           5.00           
Vardas7690               Pavarde7690              5.19           5.40           
Vardas7794               Pavarde7794              5.19           5.00           
Vardas8675               Pavarde8675              5.19           5.00           
Vardas8788               Pavarde8788              5.19           5.40           
Vardas8949               Pavarde8949              5.19           5.40           
Vardas9007               Pavarde9007              5.19           5.00           
Vardas9091               Pavarde9091              5.19           5.40           
Vardas9324               Pavarde9324              5.19           5.40           
Vardas508                Pavarde508               5.20           4.80           
Vardas2872               Pavarde2872              5.20           5.20           
Vardas2903               Pavarde2903              5.20           4.80           
Vardas3535               Pavarde3535              5.20           4.80           
Vardas8563               Pavarde8563              5.20           5.20           
Vardas1238               Pavarde1238              5.20           5.20           
Vardas6490               Pavarde6490              5.20           5.20           
Vardas9281               Pavarde9281              5.20           5.20           
Vardas9889               Pavarde9889              5.20           5.60           
Vardas204                Pavarde204               5.21           5.00           
Vardas477                Pavarde477               5.21           5.40           
Vardas878                Pavarde878               5.21           4.60           
Vardas1099               Pavarde1099              5.21           5.40           
Vardas1155               Pavarde1155              5.21           5.40           
Vardas2073               Pavarde2073              5.21           5.00           
Vardas2750               Pavarde2750              5.21           5.40           
Vardas3162               Pavarde3162              5.21           5.40           
Vardas4038               Pavarde4038              5.21           5.00           
Vardas4682               Pavarde4682              5.21           5.40           
Vardas5102               Pavarde5102              5.21           5.40           
Vardas5462               Pavarde5462              5.21           5.00           
Vardas6378               Pavarde6378              5.21           5.40           
Vardas6504               Pavarde6504              5.21           5.40           
Vardas7117               Pavarde7117              5.21           5.40           
Vardas7366               Pavarde7366              5.21           5.00           
Vardas7810               Pavarde7810              5.21           5.40           
Vardas8707               Pavarde8707              5.21           5.00           
Vardas9253               Pavarde9253              5.21           5.40           
Vardas9584               Pavarde9584              5.21           5.00           
Vardas9665               Pavarde9665              5.21           5.00           
Vardas9748               Pavarde9748              5.21           5.40           
Vardas9793               Pavarde9793              5.21           5.40           
Vardas9900               Pavarde9900              5.21           4.60           
Vardas29                 Pavarde29                5.23           5.20           
Vardas1211               Pavarde1211              5.23           5.20           
Vardas1258               Pavarde1258              5.23           5.20           
Vardas3509               Pavarde3509              5.23           4.80           
Vardas3725               Pavarde3725              5.23           5.20           
Vardas5896               Pavarde5896              5.23           5.20           
Vardas6527               Pavarde6527              5.23           4.80           
Vardas7525               Pavarde7525              5.23           5.60           
Vardas8831               Pavarde8831              5.23           5.60           
Vardas9843               Pavarde9843              5.23           5.60           
Vardas9877               Pavarde9877              5.23           5.20           
Vardas199                Pavarde199               5.24           5.80           
Vardas1672               Pavarde1672              5.24           5.00           
Vardas1909               Pavarde1909              5.24           5.00           
Vardas2039               Pavarde2039              5.24           5.40           
Vardas2121               Pavarde2121              5.24           5.40           
Vardas2240               Pavarde2240              5.24           5.80           
Vardas2321               Pavarde2321              5.24           5.40           
Vardas2480               Pavarde2480              5.24           5.80           
Vardas2631               Pavarde2631              5.24           5.40           
Vardas2682               Pavarde2682              5.24           5.40           
Vardas2729               Pavarde2729              5.24           5.40           
Vardas3128               Pavarde3128              5.24           5.40           
Vardas3836               Pavarde3836              5.24           5.40           
Vardas3948               Pavarde3948              5.24           5.00           
Vardas3979               Pavarde3979              5.24           5.00           
Vardas4015               Pavarde4015              5.24           5.40           
Vardas5231               Pavarde5231              5.24           5.40           
Vardas5305               Pavarde5305              5.24           5.00           
Vardas5855               Pavarde5855              5.24           5.80           
Vardas6153               Pavarde6153              5.24           5.40           
Vardas6229               Pavarde6229              5.24           5.00           
Vardas7648               Pavarde7648              5.24           5.40           
Vardas8039               Pavarde8039              5.24           5.00           
Vardas8519               Pavarde8519              5.24           5.40           
Vardas8883               Pavarde8883              5.24           5.00           
Vardas9073               Pavarde9073              5.24           5.00           
Vardas9444               Pavarde9444              5.24           5.40           
Vardas9592               Pavarde9592              5.24           5.40           
Vardas9637               Pavarde9637              5.24           5.40           
Vardas9932               Pavarde9932              5.24           5.40           
Vardas3450               Pavarde3450              5.25           4.80           
Vardas4587               Pavarde4587              5.25           4.80           
Vardas6267               Pavarde6267              5.25           5.20           
Vardas7821               Pavarde7821              5.25           5.20           
Vardas9514               Pavarde9514              5.25           4.80           
Vardas9633               Pavarde9633              5.25           5.60           
Vardas1785               Pavarde1785              5.25           5.60           
Vardas2924               Pavarde2924              5.25           5.60           
Vardas7670               Pavarde7670              5.25           6.00           
Vardas95                 Pavarde95                5.27           5.00           
Vardas492                Pavarde492               5.27           5.00           
Vardas628                Pavarde628               5.27           5.40           
Vardas978                Pavarde978               5.27           5.40           
Vardas1207               Pavarde1207              5.27           5.00           
Vardas1236               Pavarde1236              5.27           5.00           
Vardas1291               Pavarde1291              5.27           5.00           
Vardas2188               Pavarde2188              5.27           5.40           
Vardas2251               Pavarde2251              5.27           5.40           
Vardas2374               Pavarde2374              5.27           5.00           
Vardas2565               Pavarde2565              5.27           5.40           
Vardas3050               Pavarde3050              5.27           5.00           
Vardas3052               Pavarde3052              5.27           5.40           
Vardas3240               Pavarde3240              5.27           5.40           
Vardas3768               Pavarde3768              5.27           5.40           
Vardas4156               Pavarde4156              5.27           5.40           
Vardas4577               Pavarde4577              5.27           5.40           
Vardas4854               Pavarde4854              5.27           5.00           
Vardas5196               Pavarde5196              5.27           5.40           
Vardas5367               Pavarde5367              5.27           4.60           
Vardas5464               Pavarde5464              5.27           5.40           
Vardas5777               Pavarde5777              5.27           5.00           
Vardas5921               Pavarde5921              5.27           5.40           
Vardas6108               Pavarde6108              5.27           5.00           
Vardas6228               Pavarde6228              5.27           5.40           
Vardas6438               Pavarde6438              5.27           5.80           
Vardas6551               Pavarde6551              5.27           5.80           
Vardas7464               Pavarde7464              5.27           5.40           
Vardas7571               Pavarde7571              5.27           5.40           
Vardas7620               Pavarde7620              5.27           5.40           
Vardas7784               Pavarde7784              5.27           5.40           
Vardas8411               Pavarde8411              5.27           5.40           
Vardas8795               Pavarde8795              5.27           5.00           
Vardas8999               Pavarde8999              5.27           5.80           
Vardas9019               Pavarde9019              5.27           5.00           
Vardas9203               Pavarde9203              5.27           5.00           
Vardas9267               Pavarde9267              5.27           5.40           
Vardas3931               Pavarde3931              5.28           4.40           
Vardas4903               Pavarde4903              5.28           5.20           
Vardas6341               Pavarde6341              5.28           4.80           
Vardas6433               Pavarde6433              5.28           5.20           
Vardas9947               Pavarde9947              5.28           4.80           
Vardas2635               Pavarde2635              5.28           5.60           
Vardas2644               Pavarde2644              5.28           5.60           
Vardas4387               Pavarde4387              5.28           5.60           
Vardas98                 Pavarde98                5.29           5.40           
Vardas569                Pavarde569               5.29           5.40           
Vardas596                Pavarde596               5.29           5.00           
Vardas1779               Pavarde1779              5.29           5.40           
Vardas1898               Pavarde1898              5.29           5.40           
Vardas1899               Pavarde1899              5.29           5.00           
Vardas1977               Pavarde1977              5.29           5.00           
Vardas3283               Pavarde3283              5.29           5.40           
Vardas3390               Pavarde3390              5.29           5.40           
Vardas4062               Pavarde4062              5.29           4.60           
Vardas4408               Pavarde4408              5.29           5.40           
Vardas4621               Pavarde4621              5.29           5.00           
Vardas4667               Pavarde4667              5.29           5.40           
Vardas4794               Pavarde4794              5.29           5.40           
Vardas4803               Pavarde4803              5.29           5.40           
Vardas4936               Pavarde4936              5.29           6.20           
Vardas5078               Pavarde5078              5.29           5.40           
Vardas5151               Pavarde5151              5.29           5.40           
Vardas5212               Pavarde5212              5.29           5.00           
Vardas5301               Pavarde5301              5.29           5.00           
Vardas5943               Pavarde5943              5.29           5.00           
Vardas6069               Pavarde6069              5.29           5.40           
Vardas6172               Pavarde6172              5.29           5.00           
Vardas6333               Pavarde6333              5.29           5.40           
Vardas6757               Pavarde6757              5.29           5.40           
Vardas7335               Pavarde7335              5.29           5.80           
Vardas8305               Pavarde8305              5.29           5.00           
Vardas8914               Pavarde8914              5.29           5.00           
Vardas9031               Pavarde9031              5.29           5.80           
Vardas9516               Pavarde9516              5.29           5.00           
Vardas86                 Pavarde86                5.31           5.60           
Vardas102                Pavarde102               5.31           5.60           
Vardas323                Pavarde323               5.31           4.80           
Vardas903                Pavarde903               5.31           5.60           
Vardas1940               Pavarde1940              5.31           5.20           
Vardas2520               Pavarde2520              5.31           5.60           
Vardas4498               Pavarde4498              5.31           4.80           
Vardas6227               Pavarde6227              5.31           5.20           
Vardas6766               Pavarde6766              5.31           5.20           
Vardas7427               Pavarde7427              5.31           5.60           
Vardas8798               Pavarde8798              5.31           5.60           
Vardas8989               Pavarde8989              5.31           5.20           
Vardas108                Pavarde108               5.32           6.20           
Vardas665                Pavarde665               5.32           5.40           
Vardas747                Pavarde747               5.32           5.00           
Vardas812                Pavarde812               5.32           5.40           
Vardas1185               Pavarde1185              5.32           5.00           
Vardas1423               Pavarde1423              5.32           5.80           
Vardas2573               Pavarde2573              5.32           5.40           
Vardas2614               Pavarde2614              5.32           5.40           
Vardas2930               Pavarde2930              5.32           5.80           
Vardas2957               Pavarde2957              5.32           5.40           
Vardas3345               Pavarde3345              5.32           5.40           
Vardas4352               Pavarde4352              5.32           5.40           
Vardas5038               Pavarde5038              5.32           5.40           
Vardas5283               Pavarde5283              5.32           5.40           
Vardas5292               Pavarde5292              5.32           5.40           
Vardas5413               Pavarde5413              5.32           5.40           
Vardas5638               Pavarde5638              5.32           5.80           
Vardas5900               Pavarde5900              5.32           5.40           
Vardas5964               Pavarde5964              5.32           5.40           
Vardas6106               Pavarde6106              5.32           5.80           
Vardas6161               Pavarde6161              5.32           5.40           
Vardas6448               Pavarde6448              5.32           5.40           
Vardas6515               Pavarde6515              5.32           5.40           
Vardas6755               Pavarde6755              5.32           5.40           
Vardas7379               Pavarde7379              5.32           5.40           
Vardas8239               Pavarde8239              5.32           5.00           
Vardas8643               Pavarde8643              5.32           5.00           
Vardas9853               Pavarde9853              5.32           5.00           
Vardas9872               Pavarde9872              5.32           5.40           
Vardas781                Pavarde781               5.33           5.60           
Vardas913                Pavarde913               5.33           4.80           
Vardas1027               Pavarde1027              5.33           4.40           
Vardas2881               Pavarde2881              5.33           4.80           
Vardas3308               Pavarde3308              5.33           5.20           
Vardas3574               Pavarde3574              5.33           5.20           
Vardas4383               Pavarde4383              5.33           4.40           
Vardas5375               Pavarde5375              5.33           5.20           
Vardas6188               Pavarde6188              5.33           5.20           
Vardas7092               Pavarde7092              5.33           5.20           
Vardas7249               Pavarde7249              5.33           4.80           
Vardas7889               Pavarde7889              5.33           4.80           
Vardas7992               Pavarde7992              5.33           5.20           
Vardas8163               Pavarde8163              5.33           5.20           
Vardas8674               Pavarde8674              5.33           5.20           
Vardas8844               Pavarde8844              5.33           4.80           
Vardas8939               Pavarde8939              5.33           5.20           
Vardas5757               Pavarde5757              5.33           5.60           
Vardas383                Pavarde383               5.35           5.80           
Vardas416                Pavarde416               5.35           5.40           
Vardas1528               Pavarde1528              5.35           5.00           
Vardas1748               Pavarde1748              5.35           5.40           
Vardas2252               Pavarde2252              5.35           5.80           
